"","cu70","Ac62","Ac50","Ac41","Ac7","Ac31","cu12","cu80","cu76","cu19","Ap20","Ap14","Ap24","Ap5","Ap19","Ap22"
"Connect.30.0","0.123523041862192","0.032341569575163","0.185478714530708","0.224347538884027","0.166064617528241","0.0943108704253935","0.168125132950939","0.25531762608953","0.137505701203392","0.096641139790984","0.182294633198959","0.122147502801619","0.0542009086417925","0.223203953857226","0.197870438033605","0.077453566781886"
"Tau1.30.0","1032.08837876466","1172.11606435743","970.708005563517","1051.26896638101","1220.88811694457","954.581360139393","1020.19337573653","878.580236610406","1094.92319768814","767.801602375556","913.870561544532","1555.96431270135","1783.74432036777","1456.0227012662","1030.51953230829","1766.56041987111"
"Tau2.30.0","2947504.14344965","2458773.96993858","2790131.96862303","2615256.73994366","2384540.21323085","2427143.11278931","3487515.7353015","3157920.64540533","2895040.04273932","2722284.9985111","3997981.45060656","2674276.26021304","2837207.04568924","4163198.16710392","3082795.05535549","4449105.30889901"
"NPQ.30.0","0.559726635716346","0.337804904676261","0.582703040482029","0.560096014846326","0.48027665615866","0.382288730765866","0.467216744969269","0.407376597933461","0.423555535581677","0.438973856737477","0.346328376118041","0.287706350968562","0.273809555361811","0.227634731557285","0.187278261543482","0.347992094055245"
"qP.30.0","0.708183702978961","0.677499862400747","0.714023568776935","0.535660449141059","0.699877127813739","0.679311054489585","0.672072581377366","0.627049611766251","0.761679567856977","0.73248696800276","0.609962767638736","0.551746491542551","0.513309913525105","0.470384747167837","0.492702319449149","0.552783449356535"
"ABQ.30.0","0.396435848293607","0.386783642022499","0.337673922817272","0.308187340220403","0.287990766271961","0.276255908854818","0.220204170809642","0.270913139973861","0.109494724624671","0.319136353400898","0.347158197299613","0.275691588389267","0.367068952328252","0.329089554737225","0.429452052988","0.295850670508091"
"Quant.31.0","0.134334248757523","0.139066318611384","0.136853667803225","0.112224988792796","0.12198225966049","0.119803855276139","0.109316529412984","0.115784762811442","0.108762000261619","0.11476168062259","0.123663841569676","0.112450431981133","0.0935754452522411","0.0952025213680335","0.113644638734978","0.0946440334170046"
"Sigma.31.0","5.56851874284838","4.65921373843037","5.00173194789667","5.18364891021964","5.07946501550057","5.24195653680161","5.43721420757463","4.06752783337357","5.7582055205616","5.4531946710437","4.62206394679285","4.13866394823587","4.70457720097717","5.1789117736848","4.69005251813165","4.64525759275076"
"Connect.31.0","0.164933176235463","0.0907411610448425","0.0290981627156344","0.0816323846664025","0.100482837712422","0.016003549293037","0.164086404646223","0.164247543075912","0.109087637146489","0.228617589484158","0.0746053499122551","0.00564648860724435","0.0746981036698185","0.18956773979802","0.276438758540734","0.0396175592311157"
"Tau1.31.0","956.117866816874","1121.14431018027","992.56332832636","1088.15090071808","1149.87269630886","1093.08251268035","1088.78106190431","1003.18199012316","1174.31685834858","842.414004009997","856.936395261575","1547.65121402291","1737.32816767482","1369.28730359451","971.20582497699","1567.0801144713"
"Tau2.31.0","2672376.08479171","2542722.25633251","2364118.82453907","2632635.35696869","2483596.30974379","3035339.50568756","3854513.34172266","4220650.39371363","3461331.11544529","3000854.11871029","3411995.57737299","2491898.85837733","2746686.53544482","3574365.5982344","2785268.62223118","3993370.43927759"
"NPQ.31.0","0.685828361602078","0.439533419794027","0.687905800031198","0.64933813870136","0.5581201128894","0.490749689483622","0.558497229177686","0.521269658112751","0.564904012837232","0.584086026694845","0.465002903453423","0.35431363787749","0.339595362154068","0.290131512465063","0.25002016950924","0.433410657579962"
"qP.31.0","0.784781919207995","0.769614005034564","0.776397118126991","0.573203079658497","0.752228430427299","0.772273904883863","0.733322295941676","0.718869173968037","0.86343455787725","0.825710336273013","0.728784644014239","0.63156052975778","0.599092016125748","0.540815431446192","0.566172980458038","0.64860744208565"
"ABQ.31.0","0.391008215757439","0.3941145067567","0.334295793300256","0.292633031593758","0.335829080515075","0.317445728672651","0.165351654482493","0.289485291128483","0.153425688777116","0.272025009471786","0.327484566200345","0.320352714359401","0.354173393701473","0.268094420012062","0.355918133414978","0.325714186198671"
"Quant.32.0","0.130596110476367","0.141237591811292","0.139004165211012","0.124193935286489","0.129549604123781","0.126199874351816","0.103525439807612","0.114700201261933","0.113015449020661","0.111482672286391","0.134595876440162","0.120200195274415","0.0966814637160731","0.097987040557867","0.113114014376962","0.104370570167175"
"Sigma.32.0","5.35489687880921","4.62644102779693","4.75294481667007","4.90752322005351","4.83079784694798","4.8422716739807","5.35666175676577","4.10191677043087","5.44527382804166","5.16570700583668","4.33877474409505","4.14249337553322","5.28942707865077","5.07383706642795","4.49353968850837","4.99007938161072"
"Connect.32.0","0.234846775566443","0.204008010072633","0.0281445918998382","0.196538924222535","0.0063621742775129","0","0.19331719395432","0.13622682624839","0.160842439542459","0.25656394696482","0.0796838750091138","0.131583065911918","0.12026711959402","0.102897898396318","0.2198042452502","0.163925067756517"
"Tau1.32.0","876.390790904255","1039.6102510524","1000.95322162653","1076.38962717494","1150.98281055613","1089.9056014895","1008.20805200831","983.067119479453","941.606752735725","809.358126684757","846.449163236727","1658.81987526999","1921.41540749615","1397.99213178307","949.218918099469","1342.51067041246"
"Tau2.32.0","2773812.29213612","2409015.47753849","2919147.08338042","2736105.34048191","2612739.58760204","3419917.35510934","3546667.74130557","3870840.19808669","2858612.12684395","3185659.93763911","2969889.84903871","2435726.1803157","3416743.64812549","3392034.25904513","2894984.17425188","3875629.20586826"
"NPQ.32.0","0.796524782408123","0.508053800466031","0.780537959334242","0.689646143908979","0.600664733723481","0.556329638857854","0.650235517477679","0.618953889085327","0.6309406716557","0.67786532229133","0.532381517292715","0.421035282004433","0.425214397749743","0.360231038888902","0.290348172530955","0.535136423266936"
"qP.32.0","0.832464137961754","0.824402482647122","0.820588077717663","0.597937264376347","0.786187920715085","0.826936531178998","0.781687685125114","0.77792260976073","0.914916903698675","0.880512146079364","0.789427780580669","0.697940193691355","0.678440301689054","0.609965440769478","0.608500319811972","0.733452466933856"
"ABQ.32.0","0.414370615372511","0.398376279463817","0.367408051525121","0.330313475569586","0.36834382399284","0.36948862685161","0.177716988498824","0.283478240506435","0.199433065747059","0.310403215822525","0.368703459585684","0.319723849609628","0.273887409317246","0.282944019294224","0.382905112691297","0.275661323493984"
"Quant.33.0","0.129879619314738","0.134011566530899","0.14172710195714","0.109092765874492","0.129271479801717","0.129613785462512","0.107780324754894","0.119895653024483","0.118811739418323","0.113180804172254","0.137203280245042","0.123350596817464","0.0985126733633166","0.104776943294765","0.126811895079391","0.0963724974790333"
"Sigma.33.0","5.27278490971763","4.92265063858529","4.53056867421014","4.61891029785202","4.91680742224368","4.92829969295014","5.03197025445164","4.05755901959991","5.20157222933786","4.72236622839814","4.37080164561936","4.53052238538426","5.03763270050926","4.74009498389215","4.22905778473098","5.01147499042001"
"Connect.33.0","0.152331883248266","0.139794469046984","0.0442229646966991","0.377557573267511","0.0063621742775129","0","0.194494473649523","0.0808674258489377","0.153672209874108","0.212729733176965","0.0776123375804915","0.250632291979245","0.0455690159242011","0.0385481885643955","0.0923199792452373","0.137075312525266"
"Tau1.33.0","892.112501654291","1009.07653590637","975.187599551688","1054.85398179965","1244.42791498105","1005.46912165902","950.980274472864","852.328254102882","917.586876394325","785.787981604366","911.111979814473","1568.50199398182","1870.21618493914","1383.52096342889","890.862154224201","1314.26495649428"
"Tau2.33.0","2611417.97346216","2192882.42950119","2849507.94448991","3226204.26959368","3041292.20132814","2938507.60380908","3011004.91905812","3008088.75497052","2683719.85672313","3152417.21675431","2905039.61303149","2604358.95977393","3261397.92108371","3182087.62103505","3068251.44912959","3407393.21186042"
"NPQ.33.0","0.866429897529997","0.557634398848894","0.839455870667641","0.748055443364412","0.65479546248855","0.599264755199441","0.699591179502041","0.679891288409381","0.657483389207184","0.717650076755906","0.587306234634613","0.503176831903643","0.496080199935304","0.41835322675059","0.314524879080105","0.627038044088252"
"qP.33.0","0.861082918253377","0.850226817705885","0.847550218103139","0.608713630854334","0.816554562017066","0.859383732618753","0.812969982398975","0.81728336856097","0.939399164683037","0.905319503696918","0.827849836889767","0.76377744558648","0.736330535354253","0.667837891161361","0.653380531569312","0.782817952192527"
